Team,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,pointsInPaint,turnovers,tpm,secondChancePoints,points,longestRun,steals,fastBreakPoints,pointsOffTurnovers,ftm,biggestLead,fgp
Warriors,7,240,20,41.3,44,29,27,38,15,13,92,46,100.0,8,32,15,19,21,103,21,13,13,20,8,22,41.3
Celtics,8,240,16,39.3,41,30,27,34,11,-13,80,28,91.7,12,38,22,11,13,90,16,8,12,27,11,12,42.5
