Team,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,pointsInPaint,turnovers,tpm,secondChancePoints,points,longestRun,steals,fastBreakPoints,pointsOffTurnovers,ftm,biggestLead,fgp
Pistons,6,240,22,43.3,38,28,23,41,10,-4,85,30,73.7,19,54,15,13,16,109,14,10,22,20,14,12,48.2
Cavaliers,4,240,16,38.5,44,32,28,45,12,4,88,26,56.5,23,64,14,10,13,113,14,7,16,20,13,10,51.1
