Game_ID,Team,Player,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,turnovers,tpm,points,steals,ftm,fgp
10596,Heat,Jimmy Butler,1,18,0,0.0,2,1,3,2,1,13,9,2,100.0,4,0,0,8,0,4,22.2
10639,Heat,Jimmy Butler,0,34,1,0.0,5,4,6,8,1,0,15,3,100.0,11,1,0,27,1,11,53.3
10653,Heat,Jimmy Butler,0,40,4,100.0,5,3,3,7,2,-11,15,2,80.0,5,0,2,20,2,4,46.7
10668,Heat,Jimmy Butler,1,37,1,50.0,7,4,7,11,3,-7,17,2,87.5,8,4,1,30,1,7,64.7
10676,Heat,Jimmy Butler,1,24,3,0.0,6,4,4,2,2,-26,9,3,75.0,4,1,0,7,1,3,22.2
10690,Heat,Jimmy Butler,0,33,0,60.0,5,4,7,10,1,4,14,5,100.0,4,3,3,27,0,4,71.4
10704,Heat,Jimmy Butler,0,36,2,0.0,3,2,2,9,1,11,17,3,75.0,8,2,0,24,1,6,52.9
10729,Heat,Jimmy Butler,0,35,3,66.7,7,5,6,7,2,17,12,3,85.7,7,2,2,22,1,6,58.3
10746,Heat,Jimmy Butler,0,35,1,50.0,5,5,8,9,0,15,15,4,87.5,8,3,2,27,2,7,60.0
10772,Heat,Jimmy Butler,0,37,2,0.0,4,3,1,5,1,-3,10,2,83.3,12,4,0,20,1,10,50.0
10914,Heat,Jimmy Butler,0,33,2,50.0,6,5,4,9,1,27,15,2,28.6,7,3,1,21,3,2,60.0
10915,Heat,Jimmy Butler,0,39,0,57.1,5,5,5,15,0,19,25,7,91.7,12,0,4,45,2,11,60.0
10920,Heat,Jimmy Butler,1,40,0,20.0,10,6,8,8,4,-1,20,5,100.0,3,2,1,20,2,3,40.0
10922,Heat,Jimmy Butler,1,36,1,50.0,10,7,4,12,3,14,21,2,91.7,12,0,1,36,4,11,57.1
10916,Heat,Jimmy Butler,,,,,,,,,,,,,,,,,,,,
10935,Heat,Jimmy Butler,0,30,1,25.0,9,7,3,5,2,2,16,4,100.0,4,2,1,15,2,4,31.2
10936,Heat,Jimmy Butler,0,37,2,33.3,6,3,12,8,3,11,15,3,71.4,7,2,1,22,2,5,53.3
10937,Heat,Jimmy Butler,0,38,2,20.0,9,7,2,12,2,-4,22,5,80.0,10,2,1,33,2,8,54.5
10938,Heat,Jimmy Butler,2,41,1,33.3,3,3,6,13,0,-2,20,6,92.3,13,1,2,40,2,12,65.0
10939,Heat,Jimmy Butler,0,34,2,50.0,9,6,6,9,3,36,15,4,75.0,4,2,2,23,1,3,60.0
10940,Heat,Jimmy Butler,2,42,0,33.3,8,6,4,13,2,16,29,6,66.7,6,2,2,32,1,4,44.8
10956,Heat,Jimmy Butler,3,41,3,0.0,9,4,5,12,5,25,19,2,94.4,18,2,0,41,4,17,63.2
10957,Heat,Jimmy Butler,0,32,3,33.3,6,1,3,11,5,-20,18,3,75.0,8,3,1,29,1,6,61.1
10958,Heat,Jimmy Butler,0,19,1,0.0,3,3,2,3,0,13,8,0,100.0,2,0,0,8,2,2,37.5
10959,Heat,Jimmy Butler,0,27,2,0.0,7,4,1,3,3,-30,14,2,0.0,0,1,0,6,0,0,21.4
10960,Heat,Jimmy Butler,1,40,2,20.0,6,3,4,4,3,-15,18,5,100.0,4,0,1,13,2,4,22.2
10961,Heat,Jimmy Butler,1,45,1,50.0,9,6,8,16,3,8,29,8,100.0,11,1,4,47,4,11,55.2
10962,Heat,Jimmy Butler,0,48,2,25.0,9,8,1,13,1,-4,24,4,72.7,11,1,1,35,1,8,54.2
